epglnren,sup_riscaldata,sup_raffrescata,vol_riscaldato,vol_raffrescato,sup_disperdente,rapsv,asolsut,classe_energetica,presenza_clim_invernale,presenza_clim_estiva,presenza_produzione_acs,yie,anno_costruzione,zona_climatica,d_uso_Residenziale,tipologia_edilizia,tipologia_costruttiva,num_servizi,efficienza_media,potenza_tot,num_simulati,construction_era,piano,tip_edilizia_sq,zona_clim_num,zona_clim_gg_mid
233.98,41.53,0.0,153.02,0.0,111.05,0.7258,0.061,G,True,False,True,0.2754,1946-1960,D,True,4,muratura portante,2,0.495,48.0,0,1,upper,16,4,1750
282.69,178.0,178.0,1645.55,1645.55,820.6,0.4986,0.0053,E,True,True,True,0.3237,1930-1945,D,True,1,muratura portante,3,0.77,32.0,1,1,unknown,1,4,1750
367.16,46.19,0.0,224.84,0.0,185.23,0.8238,0.0955,G,True,False,True,0.0664,1930-1945,E,False,3,muratura portante,3,0.365,48.08,0,1,ground,9,5,2550
110.59,40.0,0.0,154.52,0.0,28.9,0.187,0.0044,F,True,False,True,0.2873,before 1930,E,True,4,muratura portante,2,0.29000000000000004,52.0,0,1,underground,16,5,2550
368.52,70.51,0.0,285.93,0.0,311.58,1.0897,0.042,G,True,False,True,0.4684,1961-1975,D,True,3,c.a. con laterizi,2,0.645,48.0,0,1,upper,9,4,1750
86.52,75.76,0.0,367.63,0.0,311.86,0.8483,0.0345,A3,True,False,True,0.3819,1992-2005,D,True,2,c.a. con laterizi,2,0.675,23.0,0,3,ground,4,4,1750
256.67,154.69,0.0,577.09,0.0,439.92,0.7623,0.0476,G,True,False,True,0.1463,1961-1975,E,True,4,muratura portante,2,0.61,60.0,0,1,multi_floor,16,5,2550
196.15,117.69,0.0,453.34,0.0,443.47,0.9782,0.03,E,True,False,True,0.28,1976-1985,D,True,2,c.a. con laterizi,2,0.74,56.0,0,2,ground,4,4,1750
422.48,70.5,70.5,335.0,335.0,53.3,0.1591,0.1144,F,True,True,True,0.5125,1930-1945,D,False,4,muratura portante,4,0.2233333333333333,46.1,0,1,ground,16,4,1750
283.28,85.77,0.0,341.29,0.0,312.04,0.9143,0.0343,G,True,False,True,0.4272,1961-1975,E,True,3,muratura portante,2,0.6100000000000001,48.0,0,1,upper,9,5,2550
110.43,73.72,0.0,394.28,0.0,189.76,0.4813,0.0332,D,True,False,True,0.1074,1992-2005,D,True,4,muratura portante,2,0.72,46.6,0,3,upper,16,4,1750
160.65,69.21,0.0,292.09,0.0,181.93,0.6228,0.0369,F,True,False,True,0.0858,1992-2005,D,True,4,muratura portante,2,0.725,46.6,0,3,ground,16,4,1750
386.61,33.1,0.0,159.49,0.0,148.18,0.9291,0.1083,G,True,False,False,0.0664,1930-1945,E,False,3,muratura portante,2,0.73,0.19,1,1,ground,9,5,2550
231.59,99.01,0.0,391.48,0.0,261.76,0.6686,0.0609,G,True,False,True,0.4326,1946-1960,D,True,3,muratura portante,2,0.69,50.4,0,1,multi_floor,9,4,1750
109.82,91.71,0.0,308.1,0.0,121.18,0.3933,0.0072,F,True,False,True,0.8532,1986-1991,D,True,7,c.a. con laterizi,2,0.75,290.0,0,2,upper,49,4,1750
356.32,47.3,47.3,184.3,184.3,58.5,0.3174,0.0095,F,True,True,True,0.136,1946-1960,D,True,5,muratura portante,3,0.7133333333333334,51.0,0,1,upper,25,4,1750
104.33,61.46,0.0,270.0,0.0,175.54,0.6501,0.0955,E,True,False,True,0.1536,1992-2005,D,False,1,muratura portante,3,0.57,0.15,2,3,ground,1,4,1750
331.2,51.51,0.0,208.61,0.0,154.59,0.7411,0.0387,G,True,False,True,1.0934,1946-1960,D,True,3,muratura portante,2,0.7150000000000001,48.2,0,1,upper,9,4,1750
115.86,1217.66,0.0,4701.43,0.0,2868.24,0.6101,0.0835,F,True,False,True,0.3523,1976-1985,D,False,8,c.a. con laterizi,2,0.5549999999999999,62.6,0,2,multi_floor,64,4,1750
96.06,68.92,0.0,234.59,0.0,87.96,0.3749,0.0883,F,True,False,True,0.2523,1986-1991,D,True,4,c.a. con laterizi,2,0.41500000000000004,44.2,0,2,upper,16,4,1750
141.87,53.03,0.0,198.98,0.0,81.22,0.4082,0.0556,F,True,False,True,0.1447,before 1930,D,True,5,muratura portante,2,0.54,47.6,0,1,upper,25,4,1750
77.64,62.39,0.0,225.31,0.0,121.05,0.5372,0.1106,E,True,False,True,0.1355,1986-1991,D,True,4,c.a. con laterizi,2,0.71,48.2,0,2,ground,16,4,1750
435.19,34.47,0.0,145.31,0.0,164.96,1.1352,0.0418,G,True,False,True,0.7535,before 1930,D,True,4,muratura portante,2,0.74,47.6,0,1,ground,16,4,1750
115.93,123.22,0.0,483.78,0.0,340.91,0.7047,0.0264,D,True,False,True,0.15,1946-1960,D,True,1,c.a. con laterizi,2,0.7150000000000001,117.7,0,1,upper,1,4,1750
97.54,80.5,0.0,310.5,0.0,83.82,0.27,0.0231,F,True,False,True,0.4227,1992-2005,D,True,3,c.a. con laterizi,2,0.62,46.4,0,3,upper,9,4,1750
323.26,100.53,0.0,472.56,0.0,373.72,0.7908,0.088,G,True,False,True,0.0664,1930-1945,E,True,3,muratura portante,2,0.4,48.2,0,1,upper,9,5,2550
171.62,81.63,0.0,349.85,0.0,249.7,0.7137,0.0462,F,True,False,True,0.1099,1946-1960,D,True,2,muratura portante,2,0.855,47.6,0,1,ground,4,4,1750
177.9,101.86,0.0,424.76,0.0,307.46,0.7239,0.0663,F,True,False,True,0.2258,1992-2005,D,True,5,c.a. con laterizi,2,0.765,47.88,0,3,multi_floor,25,4,1750
200.14,67.93,0.0,244.76,0.0,162.95,0.6657,0.0318,E,True,False,True,0.5616,1976-1985,D,True,3,c.a. con laterizi,2,0.54,48.0,0,2,ground,9,4,1750
